fixture,code,class,measure,staff,voice,expectedPitch,generatedPitch,expectedOnset,generatedOnset,expectedDuration,generatedDuration,pitchDeltaSemitones,onsetDiffQuarters,durationDiffQuarters,clusterHint,likelyPipelineStage,source
piano-articulation-scan,missing-accent,articulation,4,,,,,,,,,,,,articulation,articulation glyph association,evaluator-compact
piano-articulation-scan,missing-staccato,articulation,5,,,,,,,,,,,,articulation,articulation glyph association,evaluator-compact
piano-articulation-scan,missing-staccato,articulation,6,,,,,,,,,,,,articulation,articulation glyph association,evaluator-compact
piano-articulation-scan,missing-accent,articulation,6,,,,,,,,,,,,articulation,articulation glyph association,evaluator-compact
piano-articulation-scan,missing-staccato,articulation,7,,,,,,,,,,,,articulation,articulation glyph association,evaluator-compact
piano-articulation-scan,volta-mismatch,interpretation,7,,,,,,,,,,,,other,unknown / late MusicXML,evaluator-compact
piano-articulation-scan,missing-accent,articulation,8,,,,,,,,,,,,articulation,articulation glyph association,evaluator-compact
piano-articulation-scan,missing-staccato,articulation,8,,,,,,,,,,,,articulation,articulation glyph association,evaluator-compact
piano-articulation-scan,volta-mismatch,interpretation,8,,,,,,,,,,,,other,unknown / late MusicXML,evaluator-compact
piano-dense-advanced-vector,incorrect-pitch,pitch,1,1,1,F4,F#4,1.5,1.5,0.5,0.5,1,0,0,accidental-or-staff-position,accidental_state,event-match
piano-dense-advanced-vector,incorrect-pitch,pitch,1,1,1,G4,G#4,2,2,0.5,0.5,1,0,0,accidental-or-staff-position,accidental_state,event-match
piano-dense-advanced-vector,incorrect-pitch,pitch,1,1,1,F4,F#4,2.5,2.5,0.5,0.5,1,0,0,accidental-or-staff-position,accidental_state,event-match
piano-dense-advanced-vector,incorrect-pitch,pitch,1,1,1,D4,E4,0.5,0.5,0.5,0.5,2,0,0,accidental-or-staff-position,pitch_mapping,event-match
piano-dense-advanced-vector,incorrect-chord,measure-structure,1,1,1,,,,,,,,,,chord-grouping,pitch_mapping,chord-integrity
piano-dense-advanced-vector,incorrect-chord,measure-structure,1,1,1,,,,,,,,,,chord-grouping,pitch_mapping,chord-integrity
piano-dense-advanced-vector,incorrect-chord,measure-structure,1,1,1,,,,,,,,,,chord-grouping,pitch_mapping,chord-integrity
piano-dense-advanced-vector,incorrect-chord,measure-structure,1,1,1,,,,,,,,,,chord-grouping,pitch_mapping,chord-integrity
piano-dense-advanced-vector,incorrect-pitch,pitch,2,1,1,G4,G#4,1.5,1.5,0.5,0.5,1,0,0,accidental-or-staff-position,accidental_state,event-match
piano-dense-advanced-vector,incorrect-pitch,pitch,2,1,1,A4,A#4,2,2,0.5,0.5,1,0,0,accidental-or-staff-position,accidental_state,event-match
piano-dense-advanced-vector,incorrect-pitch,pitch,2,1,1,G4,G#4,2.5,2.5,0.5,0.5,1,0,0,accidental-or-staff-position,accidental_state,event-match
piano-dense-advanced-vector,incorrect-chord,measure-structure,2,1,1,,,,,,,,,,chord-grouping,pitch_mapping,chord-integrity
piano-dense-advanced-vector,incorrect-chord,measure-structure,2,1,1,,,,,,,,,,chord-grouping,pitch_mapping,chord-integrity
piano-dense-advanced-vector,incorrect-chord,measure-structure,2,1,1,,,,,,,,,,chord-grouping,pitch_mapping,chord-integrity
piano-dense-advanced-vector,incorrect-pitch,pitch,3,1,1,C5,C#5,1,1,0.5,0.5,1,0,0,accidental-or-staff-position,accidental_state,event-match
piano-dense-advanced-vector,incorrect-pitch,pitch,3,1,1,A4,A#4,1.5,1.5,0.5,0.5,1,0,0,accidental-or-staff-position,accidental_state,event-match
