fixture,code,cluster,measure,page,staff,voice,expectedOnset,generatedOnset,onsetDiff,expectedPitch,generatedPitch,expectedChord,generatedChord,fragmentedSameClef,sequentialSameXCount,duplicateOwnershipCount
piano-articulation-scan,incorrect-chord,same-chord-split-across-onsets,2,,,,,,,,,D4 F#4 A4,E4 A4 A4,,,
piano-articulation-scan,incorrect-chord,remaining-pitch-masquerading-as-chord,2,,,,,,,,,F#4 A4,F4 A4,,,
piano-articulation-scan,incorrect-chord,nearby-voices-incorrectly-merged,2,,,,,,,,,D2 A2,A2 A2 C3,,,
piano-articulation-scan,incorrect-chord,same-chord-split-across-onsets,2,,,,,,,,,G2 D3,A2 D3,,,
piano-articulation-scan,incorrect-chord,nearby-voices-incorrectly-merged,2,,,,,,,,,,A4 B4,,,
piano-articulation-scan,incorrect-chord,nearby-voices-incorrectly-merged,2,,,,,,,,,,A2 C3 E3,,,
piano-articulation-scan,missing-note,note-dropped-during-packing,3,,2,2,0,,,E2,,,,,,
piano-articulation-scan,missing-note,note-dropped-during-packing,3,,2,2,0,,,B2,,,,,,
piano-articulation-scan,missing-note,note-dropped-during-packing,3,,2,2,2,,,A2,,,,,,
piano-articulation-scan,missing-note,note-dropped-during-packing,3,,2,2,2,,,E3,,,,,,
piano-articulation-scan,extra-note,nearby-voices-incorrectly-merged,3,,1,1,,2,,,F4,,,,,
piano-articulation-scan,extra-note,nearby-voices-incorrectly-merged,3,,1,1,,2,,,F4,,,,,
piano-articulation-scan,extra-note,nearby-voices-incorrectly-merged,3,,1,1,,3,,,C5,,,,,
piano-articulation-scan,extra-note,nearby-voices-incorrectly-merged,3,,1,1,,3,,,C5,,,,,
piano-articulation-scan,extra-note,nearby-voices-incorrectly-merged,3,,2,2,,3,,,A2,,,,,
piano-articulation-scan,extra-note,nearby-voices-incorrectly-merged,3,,2,2,,3,,,D3,,,,,
piano-articulation-scan,incorrect-chord,same-chord-split-across-onsets,3,,,,,,,,,E4 G#4 B4,E4 F4 A4,,,
piano-articulation-scan,incorrect-chord,nearby-voices-incorrectly-merged,3,,,,,,,,,G#4 B4,F4 F4 A4 A4,,,
piano-articulation-scan,incorrect-chord,nearby-voices-incorrectly-merged,3,,,,,,,,,A4,B4 C5 C5,,,
piano-articulation-scan,incorrect-chord,note-dropped-during-packing,3,,,,,,,,,E2 B2,,,,
piano-articulation-scan,incorrect-chord,note-dropped-during-packing,3,,,,,,,,,A2 E3,,,,
piano-articulation-scan,incorrect-chord,nearby-voices-incorrectly-merged,3,,,,,,,,,,A2 D3,,,
piano-articulation-scan,onset-mismatch,complete-chord-wrong-onset,4,,1,1,2,2.5,0.5,C5,C5,,,,,
piano-articulation-scan,onset-mismatch,complete-chord-wrong-onset,4,,1,1,3,2.5,0.5,A#4,C5,,,,,
piano-articulation-scan,onset-mismatch,onset-resnap-or-gap-pack,4,,2,2,2,1.5,0.5,A#2,A2,,,,,
piano-articulation-scan,missing-note,note-dropped-during-packing,4,,1,1,1,,,G4,,,,,,
piano-articulation-scan,missing-note,note-dropped-during-packing,4,,1,1,2,,,A4,,,,,,
piano-articulation-scan,missing-note,note-dropped-during-packing,4,,2,2,2,,,F3,,,,,,
piano-articulation-scan,extra-note,nearby-voices-incorrectly-merged,4,,1,1,,0,,,C5,,,,,
piano-articulation-scan,incorrect-chord,nearby-voices-incorrectly-merged,4,,,,,,,,,F4 A4 C5,F4 A4 C5 C5,,,
piano-articulation-scan,incorrect-chord,note-dropped-during-packing,4,,,,,,,,,A4 C5,C5,,,
piano-articulation-scan,incorrect-chord,same-chord-split-across-onsets,4,,,,,,,,,F2 C3,C3 C3,,,
piano-articulation-scan,incorrect-chord,note-dropped-during-packing,4,,,,,,,,,A#2 F3,A2,,,
piano-articulation-scan,missing-note,note-dropped-during-packing,5,,1,1,0,,,G4,,,,,,
piano-articulation-scan,extra-note,nearby-voices-incorrectly-merged,5,,1,1,,2,,,B4,,,,,
piano-articulation-scan,extra-note,nearby-voices-incorrectly-merged,5,,1,1,,2,,,B4,,,,,
piano-articulation-scan,extra-note,nearby-voices-incorrectly-merged,5,,1,1,,2,,,C5,,,,,
piano-articulation-scan,extra-note,nearby-voices-incorrectly-merged,5,,2,2,,0,,,C3,,,,,
piano-articulation-scan,extra-note,nearby-voices-incorrectly-merged,5,,2,2,,0,,,D3,,,,,
piano-articulation-scan,incorrect-chord,nearby-voices-incorrectly-merged,5,,,,,,,,,B4 D5,B4 B4 B4 C5 C5,,,
piano-articulation-scan,incorrect-chord,note-dropped-during-packing,5,,,,,,,,,G4 B4 D5,C5 C5,,,
piano-articulation-scan,incorrect-chord,nearby-voices-incorrectly-merged,5,,,,,,,,,G2 D3,G2 C3 D3 D3,,,
piano-articulation-scan,incorrect-chord,same-chord-split-across-onsets,5,,,,,,,,,C3 G3,C3 C3,,,
piano-articulation-scan,extra-note,nearby-voices-incorrectly-merged,6,,1,1,,0,,,B4,,,,,
piano-articulation-scan,extra-note,nearby-voices-incorrectly-merged,6,,1,1,,0,,,B4,,,,,
piano-articulation-scan,extra-note,nearby-voices-incorrectly-merged,6,,1,1,,1,,,A4,,,,,
piano-articulation-scan,extra-note,nearby-voices-incorrectly-merged,6,,1,1,,1,,,A4,,,,,
piano-articulation-scan,extra-note,nearby-voices-incorrectly-merged,6,,1,1,,1,,,B4,,,,,
piano-articulation-scan,extra-note,nearby-voices-incorrectly-merged,6,,1,1,,1,,,C5,,,,,
piano-articulation-scan,extra-note,nearby-voices-incorrectly-merged,6,,1,1,,2,,,B4,,,,,
