fixture,code,class,measure,staff,voice,expectedPitch,generatedPitch,expectedOnset,generatedOnset,expectedDuration,generatedDuration,pitchDeltaSemitones,onsetDiffQuarters,durationDiffQuarters,clusterHint,likelyPipelineStage,source
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,2,1,1,C5,C5,3.25,3,0.25,0.25,0,0.25,0,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,2,1,1,A4,A4,0.75,1,0.25,0.5,0,0.25,0.25,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,duration-mismatch,rhythm,2,1,1,A4,A4,0.75,1,0.25,0.5,0,0.25,0.25,duration-inference,duration_inference,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,2,1,1,F4,F4,2.25,2,0.25,0.5,0,0.25,0.25,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,duration-mismatch,rhythm,2,1,1,F4,F4,2.25,2,0.25,0.5,0,0.25,0.25,duration-inference,duration_inference,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,2,1,1,F4,F4,0.25,0.75,0.25,0.25,0,0.5,0,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,2,1,1,G4,G4,0.5,1,0.25,0.5,0,0.5,0.25,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,duration-mismatch,rhythm,2,1,1,G4,G4,0.5,1,0.25,0.5,0,0.5,0.25,duration-inference,duration_inference,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,2,1,1,A4,A4,3.75,3.25,0.25,0.5,0,0.5,0.25,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,duration-mismatch,rhythm,2,1,1,A4,A4,3.75,3.25,0.25,0.5,0,0.5,0.25,duration-inference,duration_inference,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,2,1,1,E4,E4,0,0.75,0.25,0.25,0,0.75,0,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,2,1,1,B4,B4,1,1.75,0.25,0.25,0,0.75,0,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,2,1,1,B4,B4,3.5,2.75,0.25,0.25,0,0.75,0,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,4,1,1,G4,G4,0.5,1,0.5,0.5,0,0.5,0,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,4,1,1,B4,B4,2.75,3,0.25,1,0,0.25,0.75,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,duration-mismatch,rhythm,4,1,1,B4,B4,2.75,3,0.25,1,0,0.25,0.75,duration-inference,duration_inference,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,4,1,1,A4,A4,1,1.5,1.5,0.75,0,0.5,0.75,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,duration-mismatch,rhythm,4,1,1,A4,A4,1,1.5,1.5,0.75,0,0.5,0.75,duration-inference,duration_inference,event-match
piano-rhythm-tuplets-vector,missing-rest,rhythm,4,1,1,rest,,0,,0.5,,,,,other,unknown / late MusicXML,event-match
piano-rhythm-tuplets-vector,missing-rest,rhythm,4,1,1,rest,,2.5,,0.25,,,,,other,unknown / late MusicXML,event-match
piano-rhythm-tuplets-vector,extra-rest,rhythm,4,1,1,,rest,,0.75,,0.25,,,,other,unknown / late MusicXML,event-match
piano-rhythm-tuplets-vector,duration-mismatch,rhythm,5,1,1,C5,C5,0,0,3,2,0,0,1,duration-inference,duration_inference,event-match
piano-rhythm-tuplets-vector,voice-mismatch,measure-structure,5,1,1,C5,C5,0,0,3,2,0,0,1,duration-inference,voice_assignment,event-match
piano-rhythm-tuplets-vector,missing-tie,sustain,5,1,1,C5,C5,0,0,3,2,0,0,1,sustain-tie,sustain_association,event-match
piano-rhythm-tuplets-vector,missing-note,pitch,5,1,1,C5,,2,,1,,,,,missing-or-extra-extraction,symbol_detection,event-match
piano-rhythm-tuplets-vector,missing-rest,rhythm,5,1,1,rest,,3,,1,,,,,other,unknown / late MusicXML,event-match
piano-rhythm-tuplets-vector,extra-note,pitch,5,1,1,,C5,,1,,1,,,,missing-or-extra-extraction,symbol_detection,event-match
piano-rhythm-tuplets-vector,extra-rest,rhythm,5,1,1,,rest,,2.75,,0.5,,,,other,unknown / late MusicXML,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,7,1,1,E4,E4,3,2.75,0.5,0.5,0,0.25,0,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,7,1,1,G4,G4,3,2.75,0.5,0.5,0,0.25,0,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,7,1,1,E4,E4,3.5,3.25,0.5,0.75,0,0.25,0.25,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,duration-mismatch,rhythm,7,1,1,E4,E4,3.5,3.25,0.5,0.75,0,0.25,0.25,duration-inference,duration_inference,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,7,1,1,G4,G4,3.5,3.25,0.5,0.75,0,0.25,0.25,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,duration-mismatch,rhythm,7,1,1,G4,G4,3.5,3.25,0.5,0.75,0,0.25,0.25,duration-inference,duration_inference,event-match
piano-rhythm-tuplets-vector,missing-note,pitch,7,1,1,E4,,0,,0.5,,,,,missing-or-extra-extraction,symbol_detection,event-match
piano-rhythm-tuplets-vector,missing-note,pitch,7,1,1,G4,,0,,0.5,,,,,missing-or-extra-extraction,symbol_detection,event-match
piano-rhythm-tuplets-vector,extra-note,pitch,7,1,1,,E4,,1.5,,0.5,,,,missing-or-extra-extraction,symbol_detection,event-match
piano-rhythm-tuplets-vector,extra-note,pitch,7,1,1,,G4,,1.5,,0.5,,,,missing-or-extra-extraction,symbol_detection,event-match
piano-rhythm-tuplets-vector,incorrect-chord,measure-structure,7,1,1,,,,,,,,,,chord-grouping,chord_grouping,chord-integrity
piano-rhythm-tuplets-vector,incorrect-chord,measure-structure,7,,,,,,,,,,,,chord-grouping,chord_grouping,chord-integrity
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,8,1,1,G4,G4,0.75,1,0.25,0.5,0,0.25,0.25,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,duration-mismatch,rhythm,8,1,1,G4,G4,0.75,1,0.25,0.5,0,0.25,0.25,duration-inference,duration_inference,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,8,1,1,A4,A4,1,1.5,1,0.5,0,0.5,0.5,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,duration-mismatch,rhythm,8,1,1,A4,A4,1,1.5,1,0.5,0,0.5,0.5,duration-inference,duration_inference,event-match
piano-rhythm-tuplets-vector,onset-mismatch,rhythm,8,1,1,F4,F4,0,0.75,0.75,0.5,0,0.75,0.25,voice-onset-assignment,rhythm_packing,event-match
piano-rhythm-tuplets-vector,duration-mismatch,rhythm,8,1,1,F4,F4,0,0.75,0.75,0.5,0,0.75,0.25,duration-inference,duration_inference,event-match
piano-rhythm-tuplets-vector,missing-rest,rhythm,8,1,1,rest,,3,,1,,,,,other,unknown / late MusicXML,event-match
piano-rhythm-tuplets-vector,tempo-mismatch,interpretation,1,,,,,,,,,,,,other,unknown / late MusicXML,evaluator-compact
piano-rhythm-tuplets-vector,dotted-rhythm-error,rhythm,4,,,,,,,,,,,,duration-inference,duration_inference,evaluator-compact
piano-rhythm-tuplets-vector,dotted-rhythm-error,rhythm,5,,,,,,,,,,,,duration-inference,duration_inference,evaluator-compact
piano-rhythm-tuplets-vector,missing-dot,rhythm,8,,,,,,,,,,,,duration-inference,duration_inference,evaluator-compact
piano-articulation-scan,duration-mismatch,rhythm,1,2,2,G2,G2,0,0,2,1,0,0,1,duration-inference,duration_inference,event-match
piano-articulation-scan,duration-mismatch,rhythm,1,2,2,C3,C3,2,2,2,1,0,0,1,duration-inference,duration_inference,event-match
piano-articulation-scan,incorrect-pitch,pitch,1,1,1,F4,C5,3,3,1,1,7,0,0,staff-pitch-assignment,pitch_mapping,event-match
piano-articulation-scan,incorrect-pitch,pitch,1,2,2,F2,B2,2,2,2,1,6,0,1,staff-pitch-assignment,pitch_mapping,event-match
piano-articulation-scan,duration-mismatch,rhythm,1,2,2,F2,B2,2,2,2,1,6,0,1,duration-inference,duration_inference,event-match
piano-articulation-scan,missing-note,pitch,1,1,1,C4,,0,,1,,,,,missing-or-extra-extraction,symbol_detection,event-match
piano-articulation-scan,missing-note,pitch,1,1,1,E4,,2,,1,,,,,missing-or-extra-extraction,symbol_detection,event-match
piano-articulation-scan,missing-note,pitch,1,2,2,C2,,0,,2,,,,,missing-or-extra-extraction,symbol_detection,event-match
piano-articulation-scan,incorrect-chord,measure-structure,1,1,1,,,,,,,,,,chord-grouping,chord_grouping,chord-integrity
piano-articulation-scan,incorrect-chord,measure-structure,1,1,1,,,,,,,,,,chord-grouping,chord_grouping,chord-integrity
piano-articulation-scan,incorrect-chord,measure-structure,1,1,1,,,,,,,,,,chord-grouping,chord_grouping,chord-integrity
piano-articulation-scan,incorrect-chord,measure-structure,1,2,2,,,,,,,,,,chord-grouping,pitch_mapping,chord-integrity
piano-articulation-scan,onset-mismatch,rhythm,2,1,1,E4,E4,1,1.25,1,1,0,0.25,0,voice-onset-assignment,rhythm_packing,event-match
piano-articulation-scan,onset-mismatch,rhythm,2,1,1,A4,A4,2,1.25,1,1,0,0.75,0,voice-onset-assignment,rhythm_packing,event-match
piano-articulation-scan,duration-mismatch,rhythm,2,2,2,A2,A2,0,0,2,1,0,0,1,duration-inference,duration_inference,event-match
piano-articulation-scan,incorrect-pitch,pitch,2,1,1,D4,E4,0,0,1,1,2,0,0,accidental-or-staff-position,pitch_mapping,event-match
piano-articulation-scan,incorrect-pitch,pitch,2,1,1,F#4,F4,2,2.75,1,1,-1,0.75,0,accidental-or-staff-position,pitch_mapping,event-match
piano-articulation-scan,onset-mismatch,rhythm,2,1,1,F#4,F4,2,2.75,1,1,-1,0.75,0,voice-onset-assignment,rhythm_packing,event-match
piano-articulation-scan,incorrect-pitch,pitch,2,1,1,G4,A4,3,2.75,1,1,2,0.25,0,accidental-or-staff-position,pitch_mapping,event-match
piano-articulation-scan,onset-mismatch,rhythm,2,1,1,G4,A4,3,2.75,1,1,2,0.25,0,voice-onset-assignment,rhythm_packing,event-match
piano-articulation-scan,onset-mismatch,rhythm,2,2,2,D3,D3,2,2.75,2,1,0,0.75,1,voice-onset-assignment,rhythm_packing,event-match
piano-articulation-scan,duration-mismatch,rhythm,2,2,2,D3,D3,2,2.75,2,1,0,0.75,1,duration-inference,duration_inference,event-match
piano-articulation-scan,incorrect-pitch,pitch,2,1,1,F#4,A4,0,0,1,1,3,0,0,staff-pitch-assignment,pitch_mapping,event-match
piano-articulation-scan,incorrect-pitch,pitch,2,2,2,G2,A2,2,2.75,2,1,2,0.75,1,accidental-or-staff-position,pitch_mapping,event-match
piano-articulation-scan,onset-mismatch,rhythm,2,2,2,G2,A2,2,2.75,2,1,2,0.75,1,voice-onset-assignment,rhythm_packing,event-match
